Ascot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3785000,3863000,1390000,1635000,2165000,3702500,4863000,,1665000,2944000,1710000,3627500,3130000,2090000,2817000,597500,,2509000,1635000,2377000,4818000,,1720000,410000,2468100,,441500,5275500,1045000,905000,1100000,790000,3190000,2190000,1329000,1320000,1585000,655000,,745000,1150000,700000,,473000,,,,,702000,,680000,,900000,710000,2511000,730000,,,,988000,2165000,1230000,,,,1246500,880000,,1175000,,935000,470000,,750000,715000,800000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,2,2,2,5,7,,2,4,2,4,4,2,4,1,,3,2,4,4,,2,1,3,,1,6,2,1,1,1,2,2,2,2,2,1,,1,1,1,,1,,,,,1,,1,,1,1,3,1,,,,1,3,2,,,,2,1,,1,,1,1,,1,1,1,,,,96403100,120
Ashby,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2355000,1423000,3999000,3405000,2183000,3540000,2061000,2019000,3065000,2154000,2485000,1067000,1581000,1060000,1855000,1527000,2542500,1376000,1359000,551000,1014000,952500,2505000,455000,2501000,2407000,1437000,455000,895000,1270000,1296500,513000,2070250,,1523000,1035000,,1424000,545000,,1044000,440000,500000,2002000,445000,942000,410000,510000,960000,,1427000,462500,450000,,956000,1422000,,907500,415000,435000,467000,,,,807000,,,,815000,,615000,440000,776000,,425000,869000,,912500,906000,880000,485000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,8,8,4,7,4,4,6,4,5,2,3,2,4,3,5,3,3,1,2,2,5,1,5,5,3,1,2,3,3,1,4,,3,2,,3,1,,2,1,1,4,1,2,1,1,2,,3,1,1,,2,3,,2,1,1,1,,,,2,,,,2,,1,1,2,,1,2,,2,2,2,1,,,,,86031250,178
Ashfield,,,860000,1376000,844000,415000,490000,,870000,842000,,810000,814000,1150000,,415000,,540000,300000,,438000,,,,380000,205000,,,430000,515000,100000,640000,,370000,,438000,930000,,535000,,965000,285000,,1657500,,426000,,500000,889000,935000,,480000,,905000,421000,,824000,825000,1285000,,840000,360000,,1345000,,450000,1595000,859000,917500,715000,443000,,1335000,,1725000,2006000,505000,595000,502000,,,2810000,450000,,2395000,924500,583000,479000,,1122500,1578000,485000,,925000,1325000,,1110000,415000,985000,470000,1445000,1516000,540000,495000,512500,,,515000,,,400000,985000,2585000,590000,,1633000,465000,,470000,,,477500,570000,,,455000,,,,459000,1215000,,,475000,500000,,,640000,459000,,737500,,,403000,,,,,440000,,696500,,435000,,,,,,,,,,369000,550000,,420000,,,,,2,3,2,1,1,,2,2,,2,2,2,,1,,1,1,,1,,,,1,1,,,1,1,1,1,,1,,1,2,,1,,2,1,,2,,1,,1,2,3,,1,,1,1,,2,2,3,,1,1,,3,,1,2,2,2,2,1,,3,,4,5,1,2,1,,,5,1,,4,2,1,1,,2,3,1,,2,1,,1,1,2,1,2,3,1,1,1,,,1,,,1,2,4,1,,3,1,,1,,,1,1,,,1,,,,1,2,,,1,1,,,1,1,,2,,,1,,,,,1,,2,,1,,,,,,,,,,1,1,,1,,,76807000,157
Attadale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2600000,2670000,6202500,7680000,2008000,1955000,7225125,5433000,5850000,3725000,3856642,1492500,4873000,3860000,2220000,2430000,,3843000,2520000,5440000,3165000,4402500,3847000,4602000,,1462000,2899990,,2555000,1080000,1430000,3590000,4035000,2584000,2338000,1395000,2495000,1615000,2320000,1425000,,,,4237500,1850000,1140000,2530000,3090000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,5,6,3,2,7,3,4,3,4,2,3,2,2,2,,3,2,4,4,4,4,3,,2,2,,3,1,1,3,3,3,3,1,2,1,2,1,,,,4,1,1,2,2,,135971757,114
Atwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,975000,2621000,1550000,1045000,4194500,2065554,2492500,4053000,4834500,3327500,4435100,2848044,2014000,1472500,1710000,2310000,2959000,2935500,1044000,2034000,635000,1780000,2260000,3039000,4003000,585000,2284500,820000,2127500,2340500,1982000,735000,3749000,2163000,1811000,780000,1383000,2123000,1550000,1347000,2386750,1780000,,877500,2092000,1740000,1725000,2964000,1395000,2425000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,5,3,2,8,4,4,8,8,6,9,5,4,3,3,4,6,5,2,4,1,3,5,5,7,1,4,2,4,4,4,1,7,4,3,1,3,4,3,3,4,4,,2,4,3,3,5,3,3,105803448,195
Aubin Grove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1410500,4790000,3675000,4398000,2665000,3718045,3987500,1568300,2358184,987500,1872000,660000,2230000,4554000,500000,2348000,1725500,570500,945000,2014000,2676000,1051000,1375000,565000,2434000,2303000,1115000,,1877888,980000,1580000,1347499,435000,645000,1096000,405000,565000,1705000,1268000,982000,,2716000,2668000,1259000,3570000,1235000,1032500,690000,,680000,,485000,640000,610000,1730000,1130000,1025000,430000,1184500,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,8,6,8,5,6,7,3,4,2,3,1,4,8,1,4,3,1,2,3,5,2,2,1,4,4,2,,3,2,3,2,1,1,2,1,1,3,2,2,,5,5,2,6,2,2,1,,1,,1,1,1,3,2,2,1,2,92467416,162
Aveley,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3439000,2395000,3660500,1692000,945000,2079000,705000,2451000,726500,1351000,2440000,575000,2015000,2463000,1511000,1564000,1663500,2597500,973500,3763500,940000,795000,430000,2244000,1244000,955000,1126000,1967500,3279000,2033500,2833000,1337000,2055000,5017000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,5,8,4,2,4,2,5,2,3,5,2,4,5,4,4,4,6,2,9,3,2,1,5,3,2,3,5,7,5,7,3,4,11,65266000,148
Balcatta,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000,1590000,2355000,1320000,1797000,1220000,1203000,370000,1990000,550000,1130000,314000,1200000,420000,1568000,335000,,325000,730000,1258000,1228000,,870000,,1002500,1700000,575000,,650000,630000,392000,,,282000,1920000,715000,1839100,1019000,670000,2581000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,4,2,4,3,3,1,4,1,2,1,2,1,3,1,,1,1,3,2,,2,,2,2,1,,1,1,1,,,1,3,2,3,2,1,5,37248600,71
Baldivis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4398500,4987500,5707000,5050000,8227750,7350500,5526000,4044000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,11,12,13,20,17,14,10,45291250,108
Balga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,290000,364000,,260000,680000,760000,299000,735000,350000,380000,,345000,460000,1152000,1170000,733000,300000,,280000,,620000,380000,810000,842500,,1085000,,843000,,835000,,,1017500,350000,,301000,210000,276000,290000,1525000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,1,2,2,1,2,1,1,,1,2,4,4,2,1,,1,,1,1,3,3,,3,,3,,3,,,4,1,,1,1,1,1,5,17943000,58
Ballajura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,429000,2724000,3443000,3184500,1770530,2632000,2106500,1802000,2248000,1112000,685000,920000,1382000,2179888,4569500,2816500,2059000,2120000,2038000,1160000,1037000,835000,1727000,1080000,895000,736000,1106000,2230000,1193000,1894000,1887000,2070000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,7,8,7,4,7,5,4,6,3,1,2,3,5,10,7,5,5,5,3,2,2,4,3,2,2,3,5,3,5,4,5,58071418,138
Banjup,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1360000,,2118000,1040000,985000,785000,,,1100000,,,1100000,963000,,940000,,,1185000,,,998888,3835000,,,,,,,,,,,2225000,1125000,950000,810000,,,,,,,,,,,,700000,,,,,1000000,,,,1500000,,,,1165000,1020000,1210000,,,770000,1180000,1035000,,,1450000,,,,,,,,1215000,,1550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,2,1,1,1,,,1,,,1,1,,1,,,1,,,1,3,,,,,,,,,,,2,1,1,1,,,,,,,,,,,,1,,,,,1,,,,1,,,,1,1,1,,,1,1,1,,,1,,,,,,,,1,,1,,35314888,32
Banksia Grove,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5079000,3472500,1778000,2259500,3157500,2814000,775000,850000,1270000,2171500,2087500,4344500,645000,780000,,1007000,839000,1312000,2029000,,745000,2078500,815000,1607100,3248000,2831500,775000,,2950000,315000,657000,,748000,325000,1160000,380000,1009000,1829000,1944000,1750000,1195000,440000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,9,5,6,8,7,2,2,3,6,5,11,2,2,,3,2,4,5,,2,6,2,4,9,8,2,,8,1,2,,2,1,3,1,3,5,4,5,3,1,,63473100,166
Baskerville,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1500000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000,900000,,,,,,,,,,,2500000,,,3270000,,,,,,,,,,,,,,,,1385000,,515000,,,,1425000,,,,,,,,,,,,,,,,,,,,,,,,745000,1620000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,2,,,2,,,,,,,,,,,,,,,,1,,1,,,,1,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14860000,12
Bassendean,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,520000,3370000,1335000,3225000,1005000,499000,1562000,4609000,1357000,2325000,872000,4284000,2827500,2496000,965000,1780000,1677500,1010000,2112700,970000,625000,433000,920000,3763795,1178000,2215000,2749500,680000,550000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,2,5,2,1,3,9,2,4,2,8,5,4,2,4,3,2,4,2,1,1,2,7,2,4,5,1,1,51915995,95
Bateman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1385000,2173000,797500,1185000,720000,5251000,2450000,3193500,1735000,,835000,,5081000,821000,3450000,1751000,499500,903000,2394000,2695000,,2434000,2293000,1360000,830000,1522000,1685000,,,2278000,740000,1895000,,1270000,1980000,900000,950000,890000,405000,,2473000,,1490000,2111500,2117000,,660000,1190000,,2054900,1347500,1408000,2000000,820000,1545000,,782000,,,,645000,2332000,,1300000,,,,805000,,460000,,,,870000,,1585000,870000,,975000,,1352000,,,2771000,1840000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,1,2,1,6,3,4,2,,1,,5,1,4,2,1,1,3,3,,3,3,2,1,2,2,,,3,1,3,,1,3,1,1,1,1,,4,,2,3,3,,1,1,,3,2,2,2,1,2,,1,,,,1,3,,1,,,,1,,1,,,,1,,2,1,,1,,2,,,3,2,,,94555400,118
